id,company_id,system_id,equipment_type_id,name,frequency_type,frequency_value,estimated_minutes,remarks,template_code,template_name,description,estimated_duration
PMT-CTC-SYS013-EQ006-3MTH,CTC,SYS013,EQ-006,PM Cooling Pad (โกดังหางดง) ราย 3 เดือน,month,3,90,"ตรวจเช็คระบบจ่ายน้ำและวาล์วที่เกี่ยวข้อง, ตรวจสอบสภาพโครงสร้างโดยรวม",,PM Cooling Pad (โกดังหางดง) ราย 3 เดือน,,
PMT-CTC-SYS013-EQ006-MTH,CTC,SYS013,EQ-006,PM Cooling Pad (โกดังหางดง) รายเดือน,month,1,60,"ทำใบ Checklist ให้พนักงานตรวจสอบ: ตรวจสอบการไหลของน้ำ (ทั่วถึงหรือไม่), มีคราบสกปรก/ตะไคร่น้ำหรือไม่, มีกลิ่นผิดปกติหรือไม่",,PM Cooling Pad (โกดังหางดง) รายเดือน,,
PMT-CTC-SYS013-EQ033-3MTH,CTC,SYS013,EQ-033,PM พัดลมระบายอากาศ (โกดังหางดง) ราย 3 เดือน,month,3,90,"ตรวจสอบจุดยึดและสกรูให้แน่น, ตรวจวัดกระแสไฟฟ้ามอเตอร์, และตรวจสอบจุดร้อน (PdM) หากมีอุปกรณ์",,PM พัดลมระบายอากาศ (โกดังหางดง) ราย 3 เดือน,,
PMT-CTC-SYS013-EQ033-MTH,CTC,SYS013,EQ-033,PM พัดลมระบายอากาศ (โกดังหางดง) รายเดือน,month,1,60,"ทำใบ Checklist ให้พนักงานตรวจสอบ: ตรวจสอบการทำงาน (เปิด-ปิดปกติ/มีเสียงผิดปกติหรือไม่), ความสะอาดโดยรวม, การสั่นสะเทือนผิดปกติ",,PM พัดลมระบายอากาศ (โกดังหางดง) รายเดือน,,
PMT-CTC-SYS014-EQ034-3MTH,CTC,SYS014,EQ-034,PM ตู้ LP ทั่วไป (โกดังหางดง) ราย 3 เดือน,month,3,90,"วัดโหลดกระแสไฟฟ้าของวงจรหลัก, ตรวจสอบจุดร้อน (PdM) ด้วย Thermal Camera หากมีอุปกรณ์, ขันแน่นจุดเชื่อมต่อสายไฟภายในตู้",,PM ตู้ LP ทั่วไป (โกดังหางดง) ราย 3 เดือน,,
PMT-CTC-SYS014-EQ034-MTH,CTC,SYS014,EQ-034,PM ตู้ LP ทั่วไป (โกดังหางดง) รายเดือน,month,1,60,"ทำใบ Checklist ให้พนักงานตรวจสอบ: ตรวจสอบความสะอาดภายนอกตู้, หลอดไฟแสดงสถานะ (ติดปกติหรือไม่), มีเสียงหรือกลิ่นผิดปกติ, สัมผัสความร้อนผิดปกติที่ผิวตู้",,PM ตู้ LP ทั่วไป (โกดังหางดง) รายเดือน,,
PMT-CTC-SYS014-EQ035-YR,CTC,SYS014,EQ-035,PM หม้อแปลง (โกดังหางดง) รายปี,year,1,360,ตรวจเช็คหม้อแปลง (โดยช่างจากการไฟฟ้า),,PM หม้อแปลง (โกดังหางดง) รายปี,,
PMT-CTC-SYS015-EQ036-3MTH,CTC,SYS015,EQ-036,PM ตู้ LP แต่ละจุด/ห้อง (ออฟฟิศเชียงใหม่) ราย 3 เดือน,month,3,60,"ทำความสะอาดตู้, ตรวจสอบมิเตอร์และหลอดไฟแสดงสถานะ, ตรวจสอบเบรกเกอร์ (MCB) แต่ละตัวว่าอยู่ในสภาพดีและทำงานปกติ",,PM ตู้ LP แต่ละจุด/ห้อง (ออฟฟิศเชียงใหม่) ราย 3 เดือน,,
PMT-CTC-SYS015-EQ036-6MTH,CTC,SYS015,EQ-036,PM ตู้ LP แต่ละจุด/ห้อง (ออฟฟิศเชียงใหม่) ราย 6 เดือน,month,6,90,"ตรวจสอบจุดร้อน (PdM) หากมีอุปกรณ์, ขันแน่นจุดเชื่อมต่อสายไฟภายในตู้",,PM ตู้ LP แต่ละจุด/ห้อง (ออฟฟิศเชียงใหม่) ราย 6 เดือน,,
PMT-CTC-SYS016-EQ037-3MTH,CTC,SYS016,EQ-037,PM เต้ารับไฟฟ้าทั่วไป (ออฟฟิศเชียงใหม่) ราย 3 เดือน,month,3,45,"ตรวจสอบสภาพของเต้ารับ (เช่น รอยไหม้, การแตกร้าว), ตรวจสอบความแน่นของเต้ารับกับผนัง/บล็อก",,PM เต้ารับไฟฟ้าทั่วไป (ออฟฟิศเชียงใหม่) ราย 3 เดือน,,
